brain,scenario,method,tissue_pct,skull_pct
vp_102513,missing_low_freq,dg_c,69.03508215441224,40.17372421281216
vp_102513,missing_low_freq,sg,87.2359322463998,82.91711907347087
vp_102513,missing_low_freq,sg_c,89.39288206559665,89.57654723127035
vp_155938,standard,baseline,5.637190203842206,29.32798395185557
vp_155938,standard,dg,60.09678838539375,61.664994984954866
vp_155938,standard,dg_c,71.7465904091509,74.0220661985958
vp_155938,standard,sg,78.62443173485848,58.65596790371114
vp_155938,standard,sg_c,96.44229359143569,91.75526579739217
vp_155938,reduced_compute,baseline,5.637190203842206,4.152457372116349
vp_155938,reduced_compute,dg,5.942220266901305,14.48345035105316
vp_155938,reduced_compute,dg_c,43.39932541428362,26.238716148445334
vp_155938,reduced_compute,sg,63.384660507405776,7.883650952858575
vp_155938,reduced_compute,sg_c,66.73412523830474,76.73019057171514
vp_155938,missing_low_freq,baseline,5.637190203842206,2.7482447342026077
vp_155938,missing_low_freq,dg,6.1357970376888105,16.62988966900702
vp_155938,missing_low_freq,dg_c,48.59950139316616,21.143430290872615
vp_155938,missing_low_freq,sg,79.95893826074204,7.041123370110331
vp_155938,missing_low_freq,sg_c,0.0,12.75827482447342
vp_111514,standard,baseline,8.249137119548164,23.32936979785969
vp_111514,standard,dg,78.0859742704738,64.82758620689654
vp_111514,standard,dg_c,91.11076247254472,78.50178359096314
vp_111514,standard,sg,96.84342641983056,83.04399524375742
vp_111514,standard,sg_c,94.54659554439912,82.54458977407847
vp_111514,reduced_compute,baseline,8.176968936303734,22.35434007134364
vp_111514,reduced_compute,dg,8.176968936303734,1.78359096313912
vp_111514,reduced_compute,dg_c,64.96705365547537,69.44114149821641
vp_111514,reduced_compute,sg,94.88233448384061,88.70392390011891
vp_111514,reduced_compute,sg_c,87.07561970505178,89.32223543400714
vp_111514,missing_low_freq,baseline,8.176968936303734,13.365041617122472
vp_111514,missing_low_freq,dg,8.176968936303734,4.661117717003567
vp_111514,missing_low_freq,dg_c,37.4615625980546,46.18311533888229
vp_111514,missing_low_freq,sg,90.61499843112645,64.0665873959572
vp_111514,missing_low_freq,sg_c,79.30655789143395,79.42925089179548
vp_146735,standard,baseline,28.046363322992075,23.196011545526108
vp_146735,standard,dg,74.3752154429507,59.74809761217528
vp_146735,standard,dg_c,78.44277835229231,62.109682498032015
vp_146735,standard,sg,62.32764563943468,75.70191550774075
